Tabelle: 42155-0003
Auftragsbestand im Verarbeitenden Gewerbe (Wertindex):;;;;;;;;;;;;;;;;
Deutschland, Monate, Original- und bereinigte Daten,;;;;;;;;;;;;;;;;
Absatzrichtung, Wirtschaftszweige (2-4-Steller Hierarchie);;;;;;;;;;;;;;;;
Indizes des Auftragsbestandes im Verarb. Gewerbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auftragsbestand: Wertindex (2021=100);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Original- und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Originalwerte;;;;;;X13 JDemetra+  kalenderbereinigt;;;;;;X13 JDemetra+  kalender- und saisonbereinigt;;;;;;BV4.1 kalender- und saisonbereinigt;;;;;;BV4.1 Trend;;;;;
;;Absatzrichtung;;;;;;Absatzrichtung;;;;;;Absatzrichtung;;;;;;Absatzrichtung;;;;;;Absatzrichtung;;;;;
;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;67,8;e;50,6;e;75,3;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
November;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;69,2;e;55,5;e;74,7;e;-;;-;;-;;71,6;e;56,2;e;77,8;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;67,9;e;53,6;e;74,2;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Dezember;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;68,8;e;54,6;e;74,4;e;-;;-;;-;;71,1;e;57,2;e;76,7;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;68,1;e;53,1;e;74,7;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;71,1;e;57,8;e;76,6;e;-;;-;;-;;71,5;e;57,8;e;77,0;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;70,8;e;56,3;e;77,1;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Februar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;73,4;e;59,3;e;79,2;e;-;;-;;-;;73,1;e;58,7;e;79,1;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;72,9;e;58,0;e;79,4;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
März;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;75,3;e;62,5;e;80,5;e;-;;-;;-;;72,7;e;61,0;e;77,5;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;74,7;e;61,0;e;80,7;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
April;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;75,7;e;63,3;e;80,8;e;-;;-;;-;;74,0;e;62,1;e;78,9;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;74,7;e;62,5;e;80,1;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Mai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;76,1;e;65,3;e;80,5;e;-;;-;;-;;74,1;e;63,2;e;78,4;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;74,2;e;64,0;e;78,6;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;74,3;e;64,8;e;78,1;e;-;;-;;-;;73,7;e;64,1;e;77,6;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;72,8;e;64,0;e;76,7;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;74,4;e;65,4;e;78,1;e;-;;-;;-;;74,1;e;64,5;e;78,1;e;-;;-;;-;;-;;-;;-;
